Date,symbol,adj_close,ret
2019-09-30,T,37.84,0.07317073170731714
2019-10-31,T,38.49,0.017177589852008346
2019-11-29,T,37.38,-0.02883865939204988
2019-12-31,T,39.08,0.045478865703584725
2020-01-31,T,37.62,-0.03735926305015358
2020-02-28,T,35.22,-0.0637958532695374
2020-03-31,T,29.15,-0.17234525837592274
2020-04-30,T,30.47,0.04528301886792452
2020-05-29,T,30.86,0.01279947489333777
2020-06-30,T,30.23,-0.02041477640959166
2020-07-31,T,29.58,-0.02150181938471729
2020-08-31,T,29.81,0.007775524002704648
2020-09-30,T,28.51,-0.043609527004360826
2020-10-30,T,27.02,-0.05226236408277807
2020-11-30,T,28.75,0.06402664692820137
2020-12-31,T,28.76,0.0003478260869564931
2021-01-29,T,28.63,-0.004520166898470235
2021-02-26,T,27.89,-0.025847013622074644
2021-03-31,T,30.27,0.08533524560774475
2021-04-30,T,31.41,0.03766105054509428
2021-05-28,T,29.43,-0.0630372492836676
2021-06-30,T,28.78,-0.022086306489976115
2021-07-30,T,28.05,-0.025364836692147286
2021-08-31,T,27.42,-0.022459893048128343
2021-09-30,T,27.01,-0.014952589350838763
2021-10-29,T,25.26,-0.06479081821547572
2021-11-30,T,22.83,-0.09619952494061768
2021-12-31,T,24.6,0.07752956636005282
2022-01-31,T,25.5,0.03658536585365857
2022-02-28,T,23.69,-0.07098039215686269
2022-03-31,T,23.63,-0.002532714225411681
2022-04-29,T,18.86,-0.20186203977994077
2022-05-31,T,21.29,0.12884411452810185
2022-06-30,T,20.96,-0.015500234852043104
2022-07-29,T,18.78,-0.1040076335877862
2022-08-31,T,17.54,-0.06602768903088407
2022-09-30,T,15.34,-0.12542759407069548
2022-10-31,T,18.23,0.18839634941329853
2022-11-30,T,19.28,0.05759736697750961
2022-12-30,T,18.41,-0.04512448132780089
2023-01-31,T,20.37,0.10646387832699622
2023-02-28,T,18.91,-0.07167403043691711
2023-03-31,T,19.25,0.017979904812268632
2023-04-28,T,17.67,-0.08207792207792197
2023-05-31,T,15.73,-0.10979060554612341
2023-06-30,T,15.95,0.013986013986013957
2023-07-31,T,14.52,-0.08965517241379306
2023-08-31,T,14.79,0.018595041322313932
2023-09-29,T,15.02,0.015551048005409074
2023-10-31,T,15.4,0.025299600532623145
2023-11-30,T,16.57,0.07597402597402603
2023-12-29,T,16.78,0.012673506336753126
2024-01-31,T,17.69,0.05423122765196653
2024-02-29,T,16.93,-0.042962125494629855
2024-03-28,T,17.6,0.039574719432959427
2024-04-30,T,16.89,-0.04034090909090915
2024-05-31,T,18.22,0.07874481941977485
2024-06-28,T,19.11,0.04884742041712409
2024-07-31,T,19.25,0.0073260073260073
2024-08-30,T,19.9,0.033766233766233666
2024-09-30,T,22.0,0.1055276381909549
2024-10-31,T,22.54,0.024545454545454426
2024-11-29,T,23.16,0.027506654835847355
2024-12-31,T,22.77,-0.01683937823834203
2025-01-31,T,23.73,0.04216073781291185
2025-02-28,T,27.41,0.15507796038769484
2025-03-31,T,28.28,0.031740240788033613
2025-04-30,T,27.7,-0.020509193776520607
2025-05-30,T,27.8,0.0036101083032491488
2025-06-30,T,28.94,0.04100719424460442
2025-07-31,T,27.41,-0.052868002764340005
2025-08-29,T,29.29,0.06858810653046321
2025-09-30,T,28.24,-0.03584841242744963
2025-10-31,T,24.75,-0.12358356940509907
2025-11-28,T,26.02,0.0513131313131312
2025-12-31,T,24.84,-0.04534973097617212
2015-02-27,WMT,27.98,-0.012354394634662813
2015-03-31,WMT,27.42,-0.020014295925661174
2015-04-30,WMT,26.02,-0.051057622173595996
2015-05-29,WMT,24.76,-0.04842428900845497
2015-06-30,WMT,23.64,-0.04523424878836835
2015-07-31,WMT,23.99,0.014805414551607443
2015-08-31,WMT,21.58,-0.10045852438516045
2015-09-30,WMT,21.61,0.0013901760889714065
2015-10-30,WMT,19.08,-0.11707542804257298
2015-11-30,WMT,19.61,0.0277777777777779
2015-12-31,WMT,20.43,0.04181540030596631
2016-01-29,WMT,22.12,0.08272148800783174
2016-02-29,WMT,22.11,-0.0004520795660036825
2016-03-31,WMT,22.83,0.03256445047489809
2016-04-29,WMT,22.29,-0.023653088042049908
2016-05-31,WMT,23.59,0.05832211754149852
2016-06-30,WMT,24.34,0.0317931326833405
2016-07-29,WMT,24.32,-0.0008216926869351049
2016-08-31,WMT,23.81,-0.020970394736842146
2016-09-30,WMT,24.04,0.009659806803864024
2016-10-31,WMT,23.34,-0.02911813643926786
2016-11-30,WMT,23.48,0.005998286203941827
2016-12-30,WMT,23.04,-0.01873935264054516
2017-01-31,WMT,22.25,-0.03428819444444442
2017-02-28,WMT,23.64,0.06247191011235964
2017-03-31,WMT,24.03,0.016497461928933976
2017-04-28,WMT,25.06,0.04286308780690784
2017-05-31,WMT,26.2,0.045490822027134836
2017-06-30,WMT,25.23,-0.03702290076335879
2017-07-31,WMT,26.66,0.05667855727308768
2017-08-31,WMT,26.02,-0.02400600150037513
2017-09-29,WMT,26.05,0.0011529592621060125
2017-10-31,WMT,29.1,0.11708253358925136
2017-11-30,WMT,32.41,0.11374570446735377
2017-12-29,WMT,32.92,0.015735883986424115
2018-01-31,WMT,35.53,0.0792831105710814
2018-02-28,WMT,30.0,-0.15564311849141577
2018-03-29,WMT,29.66,-0.011333333333333306
2018-04-30,WMT,29.49,-0.005731625084288705
2018-05-31,WMT,27.51,-0.0671414038657171
2018-06-29,WMT,28.55,0.037804434750999594
2018-07-31,WMT,29.74,0.04168126094570912
2018-08-31,WMT,31.95,0.07431069266980495
2018-09-28,WMT,31.3,-0.020344287949921713
